               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.039972,            0.032759,           0.0019852,             0.88957,             0.79916,             0.86106,             0.38145,            0.043954,            0.020315,           0.0030976,           0.0053587,           0.0053587,           0.0053587
                  53,            0.040227,            0.032798,           0.0019697,             0.88763,             0.81491,             0.86533,             0.36921,             0.04377,             0.02031,           0.0031415,           0.0052174,           0.0052174,           0.0052174
                  54,            0.039692,            0.032016,            0.002022,             0.89336,             0.80058,             0.85963,             0.39251,            0.043283,              0.0202,           0.0039418,           0.0050765,           0.0050765,           0.0050765
                  55,            0.039754,            0.032655,           0.0019156,             0.87977,             0.78922,             0.84865,             0.35867,            0.046028,            0.020489,           0.0033647,            0.004936,            0.004936,            0.004936
                  56,            0.039049,            0.030359,           0.0017403,             0.90809,             0.80017,             0.86557,             0.38427,            0.043506,            0.020184,            0.002963,            0.004796,            0.004796,            0.004796
                  57,            0.039003,            0.031752,           0.0017425,             0.89977,             0.80106,             0.86814,             0.39829,            0.042965,            0.020342,           0.0028603,           0.0046568,           0.0046568,           0.0046568
                  58,            0.039041,            0.032674,           0.0018628,             0.90749,             0.78352,             0.86331,             0.39963,            0.043263,            0.019931,           0.0041655,           0.0045184,           0.0045184,           0.0045184
                  59,            0.038524,            0.031774,           0.0017813,             0.90096,             0.80548,             0.87203,             0.38142,            0.043079,            0.020186,           0.0029242,           0.0043809,           0.0043809,           0.0043809
                  60,            0.038531,             0.03223,           0.0018759,             0.89127,             0.82739,             0.87302,             0.38893,            0.043601,            0.019675,           0.0030788,           0.0042445,           0.0042445,           0.0042445
                  61,            0.038379,            0.031776,           0.0017017,             0.88781,             0.80579,             0.85258,             0.35264,            0.046091,            0.019957,           0.0031777,           0.0041094,           0.0041094,           0.0041094
                  62,            0.037792,            0.031358,           0.0015543,             0.88518,             0.81624,             0.87201,             0.37039,            0.044655,            0.019948,           0.0038315,           0.0039757,           0.0039757,           0.0039757
                  63,             0.03792,            0.030653,           0.0017027,              0.8845,             0.79549,             0.85235,              0.3606,            0.044733,            0.020274,           0.0037933,           0.0038434,           0.0038434,           0.0038434
                  64,            0.037793,            0.031195,           0.0016323,             0.88484,              0.8054,             0.85761,             0.37538,            0.043773,            0.020069,           0.0038996,           0.0037128,           0.0037128,           0.0037128
                  65,            0.037642,            0.030612,           0.0016525,             0.90982,             0.81738,             0.87564,             0.40746,            0.042334,            0.019767,           0.0037974,            0.003584,            0.003584,            0.003584
                  66,            0.037659,             0.03105,           0.0014344,             0.89594,             0.81704,               0.873,             0.39774,            0.043113,            0.020269,           0.0027544,            0.003457,            0.003457,            0.003457
                  67,            0.037556,            0.030906,            0.001629,             0.90788,             0.80048,             0.87018,              0.3967,             0.04298,            0.019903,           0.0030718,           0.0033321,           0.0033321,           0.0033321
                  68,            0.037011,            0.030777,           0.0014428,             0.92111,             0.80089,             0.87122,             0.40694,            0.042399,            0.020154,           0.0031385,           0.0032093,           0.0032093,           0.0032093
                  69,            0.037198,             0.03107,           0.0016309,             0.90498,              0.8199,              0.8782,             0.42522,            0.040651,            0.020003,           0.0033319,           0.0030888,           0.0030888,           0.0030888
                  70,            0.037038,            0.030766,           0.0016524,              0.9212,             0.80995,             0.87837,             0.40224,            0.043105,            0.019946,           0.0033908,           0.0029706,           0.0029706,           0.0029706
                  71,            0.036676,            0.030964,            0.001599,             0.92671,              0.8076,             0.87788,             0.39967,            0.042771,            0.019756,           0.0033178,            0.002855,            0.002855,            0.002855
                  72,            0.036473,            0.030176,            0.001753,             0.91712,             0.80889,             0.87636,             0.38969,            0.042951,            0.019711,           0.0029614,           0.0027419,           0.0027419,           0.0027419
                  73,            0.036343,            0.030214,           0.0016036,             0.90153,             0.81594,             0.87632,             0.40319,            0.041992,            0.019992,            0.003263,           0.0026316,           0.0026316,           0.0026316
                  74,            0.036025,            0.029961,            0.001608,             0.90175,              0.8033,             0.86256,             0.37212,            0.045272,            0.020398,           0.0033895,           0.0025241,           0.0025241,           0.0025241
                  75,            0.035864,            0.030413,           0.0013806,             0.91315,             0.80494,             0.86985,              0.4203,            0.041359,                0.02,           0.0037793,           0.0024195,           0.0024195,           0.0024195
                  76,            0.035915,            0.030084,            0.001325,             0.90372,             0.82178,             0.87682,             0.42502,            0.041206,            0.020031,           0.0038305,            0.002318,            0.002318,            0.002318
                  77,            0.035759,            0.029876,           0.0012765,             0.89976,             0.81667,             0.87472,             0.39715,            0.043255,            0.019888,           0.0032578,           0.0022196,           0.0022196,           0.0022196
                  78,            0.035955,            0.030577,           0.0014341,             0.91783,             0.80965,             0.87294,             0.40615,            0.041728,            0.019832,           0.0032677,           0.0021245,           0.0021245,           0.0021245
                  79,            0.036249,            0.030746,            0.001432,              0.9218,             0.80781,             0.87887,             0.41365,            0.041501,            0.019909,           0.0034788,           0.0020327,           0.0020327,           0.0020327
                  80,            0.035396,            0.029305,            0.001356,             0.90686,             0.80183,             0.87382,             0.39229,            0.042871,            0.019684,           0.0035677,           0.0019443,           0.0019443,           0.0019443
                  81,             0.03507,            0.028682,           0.0013662,               0.916,             0.82435,             0.88714,             0.43374,            0.040625,            0.019476,           0.0031712,           0.0018594,           0.0018594,           0.0018594
                  82,            0.035732,            0.029612,           0.0013676,             0.91108,             0.81014,             0.87818,             0.43464,            0.040301,            0.020028,           0.0031707,           0.0017781,           0.0017781,           0.0017781
                  83,            0.035113,            0.028751,           0.0013272,             0.90094,             0.82129,             0.87469,             0.40348,            0.042371,            0.020055,           0.0032518,           0.0017005,           0.0017005,           0.0017005
                  84,            0.034873,             0.02891,           0.0014458,             0.91017,             0.82028,             0.88473,             0.42962,            0.040852,            0.019895,           0.0031576,           0.0016267,           0.0016267,           0.0016267
                  85,            0.034994,            0.029075,           0.0013734,             0.92059,              0.8024,             0.87213,             0.37848,            0.044197,            0.020489,           0.0032122,           0.0015566,           0.0015566,           0.0015566
                  86,            0.034393,            0.028586,           0.0012949,             0.92239,             0.80407,             0.88433,             0.42664,            0.041017,            0.020211,           0.0033962,           0.0014905,           0.0014905,           0.0014905
                  87,            0.034268,            0.029302,           0.0013411,              0.9241,             0.81259,             0.89086,             0.44755,            0.039827,             0.01983,           0.0029659,           0.0014283,           0.0014283,           0.0014283
